player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
P005319,005319,daequan-cook,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/daequan-cook/profile/005319/,DAEQUAN,COOK,193,Guard,United States of America,1987-04-28T00:00:00,NIK,Budivelnik Kiev,ok
P000152,000152,omar-cook,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/omar-cook/profile/000152/,OMAR,COOK,186,Guard,United States of America,1982-01-28T00:00:00,LIE,Lietuvos Rytas Vilnius,ok
P006735,006735,jack-cooley,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jack-cooley/profile/006735/,JACK,COOLEY,206,Forward,United States of America,1991-04-04T00:00:00,MAL,Unicaja Malaga,ok
P007199,007199,trevor-cooney,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/trevor-cooney/profile/007199/,TREVOR,COONEY,193,Guard,United States of America,1992-08-01T00:00:00,BAS,Baskonia Vitoria Gasteiz,ok
PCRU,CRU,alberto-corbacho,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/alberto-corbacho/profile/CRU/,ALBERTO,CORBACHO,200,Forward,Spain,1984-10-01T00:00:00,BAS,Laboral Kutxa Vitoria Gasteiz,ok
P009549,009549,isaia-cordinier,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/isaia-cordinier/profile/009549/,ISAIA,CORDINIER,196,Guard,France,1996-11-28T00:00:00,IST,Anadolu Efes Istanbul,ok
P004790,004790,petr-cornelie,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/petr-cornelie/profile/004790/,PETR,CORNELIE,211,Center,France,1995-07-26T00:00:00,MCO,AS Monaco,ok
P000063,000063,xavier-corosine,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/xavier-corosine/profile/000063/,XAVIER,COROSINE,183,Guard,France,1985-03-12T00:00:00,NTR,JSF Nanterre,ok
PAWR,AWR,jon-cortaberria,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/jon-cortaberria/profile/AWR/,JON,CORTABERRIA,200,Forward,Spain,1982-05-20T00:00:00,MAL,Unicaja,ok
P004092,004092,efekan-cosar,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/efekan-cosar/profile/004092/,EFEKAN,COSAR,193,Guard,Turkiye,1994-02-07T00:00:00,IST,Anadolu Efes Istanbul,ok
