player_id,position,position_wiki,position_365scores,position_reconciled
P002841,Guard,Point Guard,Shooting Guard,Shooting Guard
P002842,Guard,Small Forward,Point Guard,Point Guard
P002852,Forward,Shooting Guard,Small Forward,Small Forward
P002862,Forward,Small Forward,Power Forward,Power Forward
P002871,Center,Power Forward,Center,Center
P002873,Guard,Shooting Guard,Center,Center
P002939,Guard,Point Guard,Shooting Guard,Shooting Guard
P002970,Forward,Center,Small Forward,Small Forward
P002972,Guard,Point Guard,Shooting Guard,Shooting Guard
P003042,Center,Center,Power Forward,Power Forward
P003091,Forward,Power Forward,Small Forward,Small Forward
P003108,Forward,Power Forward,Small Forward,Small Forward
P003151,Guard,Shooting Guard,Small Forward,Small Forward
P003240,Guard,Small Forward,Point Guard,Point Guard
P003263,Guard,Point Guard,Shooting Guard,Shooting Guard
P003264,Center,Power Forward,Center,Center
P003274,Forward,Small Forward,Point Guard,Point Guard
P003328,Center,Power Forward,Center,Center
P003413,Guard,Point Guard,Shooting Guard,Shooting Guard
P003443,Forward,Small Forward,Power Forward,Power Forward
P003452,Forward,Shooting Guard,Small Forward,Small Forward
P003458,Forward,Power Forward,Small Forward,Small Forward
P003478,Forward,Small Forward,Power Forward,Power Forward
P003496,Center,Power Forward,Small Forward,Small Forward
P003521,Guard,Point Guard,Shooting Guard,Shooting Guard
P003529,Forward,Small Forward,Power Forward,Power Forward
P003533,Forward,Power Forward,Center,Center
P003573,Forward,Power Forward,Small Forward,Small Forward
P003583,Center,Center,Power Forward,Power Forward
P003608,Forward,Small Forward,Shooting Guard,Shooting Guard
P003657,Forward,Small Forward,Power Forward,Power Forward
P003703,Guard,Point Guard,Shooting Guard,Shooting Guard
P003783,Guard,Point Guard,Shooting Guard,Shooting Guard
P003958,Center,Power Forward,Center,Center
P003983,Guard,Point Guard,Shooting Guard,Shooting Guard
P004007,Forward,Small Forward,Power Forward,Power Forward
P004058,Guard,Shooting Guard,Point Guard,Point Guard
P004182,Forward,Power Forward,Shooting Guard,Shooting Guard
P004192,Guard,Shooting Guard,Small Forward,Small Forward
P004195,Guard,Shooting Guard,Point Guard,Point Guard
P004212,Guard,Point Guard,Shooting Guard,Shooting Guard
