season_code,player_id,team_id,two_points_attempted,three_points_attempted,two_point_event_count,three_point_event_count,field_goal_attempts_season,field_goal_attempts_event,field_goal_attempts_diff
E2008,PDHD,TEL,10,0,10.0,0.0,10,10.0,0.0
E2010,PDHD,BAS,59,1,59.0,1.0,60,60.0,0.0
E2011,PDHD,IST,69,0,69.0,0.0,69,69.0,0.0
E2012,PDHD,IST,12,0,12.0,0.0,12,12.0,0.0
E2014,PDHD,PAN,192,0,192.0,0.0,192,192.0,0.0
E2007,PLML,LIE,31,0,31.0,0.0,31,31.0,0.0
E2008,PLML,LEM,86,1,86.0,1.0,87,87.0,0.0
E2014,PLML,LMG,66,0,66.0,0.0,66,66.0,0.0
E2007,PAJV,PAN,139,7,139.0,7.0,146,146.0,0.0
E2008,PAJV,PAN,162,8,162.0,8.0,170,170.0,0.0
E2009,PAJV,PAN,103,6,103.0,6.0,109,109.0,0.0
E2010,PAJV,PAN,175,3,175.0,3.0,178,178.0,0.0
E2011,PAJV,PAN,172,2,172.0,2.0,174,174.0,0.0
E2012,PAJV,ULK,94,18,94.0,18.0,112,112.0,0.0
E2013,PAJV,PAN,76,6,76.0,6.0,82,82.0,0.0
E2012,P004170,IST,3,5,3.0,5.0,8,8.0,0.0
E2013,P004170,IST,42,44,42.0,44.0,86,86.0,0.0
E2014,P004170,IST,11,16,11.0,16.0,27,27.0,0.0
E2015,P004170,IST,11,57,11.0,57.0,68,68.0,0.0
E2016,P004170,DAR,24,57,24.0,57.0,81,81.0,0.0
E2017,P004170,IST,5,28,5.0,28.0,33,33.0,0.0
E2007,PKOH,LEM,64,31,64.0,31.0,95,95.0,0.0
E2011,PKOH,NAN,50,15,50.0,15.0,65,65.0,0.0
E2009,P000207,LJU,20,25,20.0,25.0,45,45.0,0.0
E2008,PKIN,NIO,74,1,74.0,1.0,75,75.0,0.0
E2015,P002971,KSK,12,10,12.0,10.0,22,22.0,0.0
E2018,P002971,DAR,58,29,58.0,29.0,87,87.0,0.0
E2015,P006648,IST,1,1,1.0,1.0,2,2.0,0.0
E2016,P006648,IST,0,0,0.0,0.0,0,0.0,0.0
E2009,P001892,LIE,45,0,45.0,0.0,45,45.0,0.0
E2012,P001892,LJU,92,0,92.0,0.0,92,92.0,0.0
E2015,P005350,ULK,1,1,1.0,1.0,2,2.0,0.0
E2012,PBDC,CED,8,6,8.0,6.0,14,14.0,0.0
E2007,MAD1,MAD,0,0,0.0,0.0,0,0.0,0.0
E2023,P012721,BER,59,36,59.0,36.0,95,95.0,0.0
E2024,P012721,BER,40,20,40.0,20.0,60,60.0,0.0
